name	category	source_db_name	source_db_version
MN1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
VEGFD	GROWTH FACTOR	GO	5-Jun-23
NSD1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAFAH1B2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NUMBL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYCN	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NFKBIA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NUP214	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MUTYH	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NACA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MNX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NPM1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NRG1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NCKIPSD	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NUMA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MPL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NUP93	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NCOA2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NDRG1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MSI2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NKX2-1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NSD2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NFE2L2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAX3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAK3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NTRK3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MSH6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MSH2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MTCP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NF2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MUC1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NOTCH1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NR4A3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NCOA4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MRE11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NTRK1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NSD3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYH11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NTRK2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PATZ1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYH9	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NFKB2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MSN	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYD88	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
NCOA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAX5	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
MYC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
